AMS	암스테르담
KTM	카트만두
OSL	오슬로
NOU	누메아
AKL	오클랜드
KHH	가오슝
TPE	타이페이
CPH	코펜하겐
MUC	뮌헨
CGN	쾰른
FRA	프랑크푸르트
VTE	비엔티안
OVB	노보시비르스크
SVO	모스크바
VVO	블라디보스토크
UUS	사할린
LED	상트페테르부르크
YKS	야쿠츠크
IKT	이르쿠츠크
KHV	하바로프스크
BEY	베이루트
LUX	룩셈부르크
BKI	코타키나발루
KUL	쿠알라룸푸르
PEN	페낭
MLE	말레
ULN	울란바토르
GUM	괌
JFK	뉴욕
EWR	뉴욕/뉴어크
DFW	댈러스
DTW	디트로이트
LAS	라스베이거스
LAX	로스앤젤레스
MIA	마이애미
MEM	멤피스
SPN	사이판
SFO	샌프란시스코
SEA	시애틀
ORD	시카고
ATL	애틀랜타
ANC	앵커리지
ILN	에어본  에어파크
IAD	워싱턴
IND	인디애나폴리스
PHL	필라델피아
HNL	호놀룰루
HOU	휴스턴
RGN	양곤
BAH	바레인
DAC	다카
CCS	마이케티아
DAD	다낭
HAN	하노이
SGN	호찌민
BRU	브뤼셀
SOF	소피아
GRU	상파울루
BWN	반다르스리브가완
CMB	콜롬보
GOT	고테버그
STO	스톡홀름
BSL	바젤
ZRH	취리히
MAD	마드리드
BCN	바르셀로나
SIN	싱가포르
DXB	두바이
AUH	아부다비
BUE	부에노스 아이레스
GYD	바쿠
LHR	런던/히드로
MEL	멜버른
BNE	브리즈번
SYD	시드니
VIE	비엔나
TAS	타슈켄트
THR	테헤란
TLV	텔아비브
CAI	카이로
FCO	로마
MXP	밀라노
DEL	델리
BOM	뭄바이
MAA	첸나이
DPS	덴파사르
CGK	자카르타
KOJ	가고시마
KMQ	고마쓰
KMJ	구마모토
KKJ	기타큐슈
NGS	나가사키
NGO	나고야
KIJ	니가타
TAK	다카마쓰
TOY	도야마
NRT	도쿄/ 나리타
HND	도쿄/ 하네다
MYJ	마쓰야마
KMI	미야자키
CTS	삿포로
SDJ	센다이
FSZ	시즈오카
AKJ	아사히카와
AOJ	아오모리
OSA	오사카
KIX	오사카/ 간사이
OIT	오이타
OKJ	오카야마
OKA	오키나와
YGJ	요나고
HKD	하코다테
FKS	후쿠시마
FUK	후쿠오카
HIJ	히로시마
CAN	광저우
KWL	구이린(계림)
KWE	구이양
NNG	난닝
NKG	난징
KHN	난창
NGB	닝보
DLC	다롄
LJG	리장
MFM	마카오
MDG	무단장
PEK	베이징
PVG	상하이/ 푸동
XMN	샤먼
SIA	서안
SHE	선양
SZX	선전
SJW	스자좡
XIY	시안
SYX	싼야
YNJ	옌지
YNZ	옌청
YNT	옌타이
URC	우루무치
WEH	웨이하이
CGO	정저우
TNA	지난
CSX	창사
CGQ	창춘
CTU	청두
CKG	충칭
TAO	칭다오
KMG	쿤밍
TSN	톈진
HRB	하얼빈
HAK	하이커우
HGH	항저우
HKG	홍콩
HIA	화이안
PRG	프라하
STI	산티아고
TSE	아스타나
ALA	알마티
DOH	도하
REP	시엠립
PNH	프놈펜
YVR	밴쿠버
YYC	캘거리
YYZ	토론토
KWI	쿠웨이트
FRU	비슈케크
BKK	방콕
DMK	방콕/돈므앙
CNX	치앙마이
HKT	푸껫
IST	이스탄불
ASB	아쉬가바트
ROR	코로르
WAW	바르샤바
CDG	파리
NAN	난디
HEL	헬싱키
MNL	마닐라
CEB	세부
SFS	수비크
KLO	칼리보
CRK	클라크필드
TAE	대구
PUS	부산
GMP	서울/ 김포
CJU	제주
